지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,83,109,132,146,91,98,58,88,46,147,82,141,136,145,94,44,34,56,61,90,106,83,51,56,64,58,47,29,39,60
,(09시 보산동),(23시 경안동),(23시 부곡동1),(05시 비전동),(04시 원시동),(04시 원시동),(23시 대부동),(01시 창전동),(10시 보산동),(12시 경안동),(12시 백석읍),(21시 봉산동),(23시 보산동),(04시 보산동),(04시 보산동),(04시 창전동),(00시 철산동),(15시 백석읍),(04시 내동),(01시 원시동),(02시 원시동),(06시 원시동),(09시 비전동),(17시 동구동),(09시 보산동),(14시 비전동),(08시 행신동),(20시 영통동),(20시 영통동),(14시 오정동)
[경기 가평군],27,39,28,26,24,20,15,21,14,29,37,14,26,37,21,13,7,,,,,,,,,,,,,
가평읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
