지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
당진군,91,67,77,58,231,124,179,106,51,71,69,62,66,41,37,39,55,50,42,34,38,43,34,50,32,32,45,61,40,42
당진군,117,77,79,66,304,138,235,115,41,70,65,53,68,40,37,45,58,55,43,42,46,54,33,44,36,35,51,55,39,47
서산시,105,81,71,79,319,165,201,112,33,66,56,62,79,40,31,41,49,39,28,31,40,35,27,47,33,25,41,45,28,32
서산시,97,74,68,70,319,162,223,92,33,77,60,48,72,46,41,51,60,52,44,40,44,47,34,53,38,37,53,54,47,40
아산시,103,77,73,58,224,116,192,119,36,69,55,49,59,40,37,56,52,53,38,21,28,24,16,38,26,34,49,57,46,21
천안시,77,68,68,53,188,100,206,104,33,68,52,50,50,35,32,37,50,50,36,30,37,40,30,39,21,26,42,57,52,37
천안시,78,78,73,70,235,120,229,109,35,72,49,44,54,41,35,41,54,46,34,35,38,41,28,40,24,26,50,58,47,44
