지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
[경기 부천시],74,102,119,128,80,73,59,234,106,185,134,52,86,88,72,72,53,48,59,56,56,48,36,47,42,35,56,31,40,-
중2동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],64,96,96,92,70,65,60,195,96,181,123,42,71,72,50,60,47,36,41,50,50,38,32,44,39,31,41,27,35,-
단대동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],71,107,108,103,74,68,59,185,94,178,118,43,83,79,56,61,45,39,43,50,51,41,34,48,41,34,40,26,37,-
복정동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],53,76,76,75,61,55,47,148,72,127,91,36,62,60,42,46,38,33,36,42,42,35,28,41,35,29,38,24,34,-
상대원1동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],58,89,89,93,67,60,53,167,83,160,102,36,65,65,45,53,35,31,33,41,42,30,25,38,33,23,40,23,32,-
수내동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],68,108,108,115,74,64,60,203,99,193,124,41,71,77,51,67,45,38,40,48,53,37,32,47,40,28,41,27,34,-
운중동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 성남시],68,101,96,103,69,65,57,197,101,193,114,36,70,72,46,63,42,38,37,48,49,36,29,42,37,26,39,26,36,-
정자1동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],73,100,106,117,85,78,62,220,108,196,109,38,76,81,59,69,46,40,50,58,59,46,38,44,46,34,49,32,38,-
고색동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],95,127,145,140,102,88,76,218,121,227,135,51,98,97,68,79,53,47,44,52,50,38,28,40,38,25,38,23,34,-
광교동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],67,94,100,109,78,71,57,199,112,188,132,38,71,71,49,64,43,36,45,50,49,38,34,41,41,33,46,31,34,-
신풍동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],70,95,105,112,81,70,56,205,105,250,115,35,73,72,49,64,42,42,47,56,56,44,36,46,41,31,45,27,36,-
영통동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],71,99,115,120,84,72,56,206,106,202,120,39,76,80,49,65,41,37,45,53,54,41,33,41,42,32,41,27,35,-
인계동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 수원시],72,106,115,124,81,71,62,203,106,203,114,41,79,78,51,66,40,35,46,51,52,38,33,40,42,36,42,28,32,-
천천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 시흥시],72,97,111,121,82,74,63,224,102,202,135,40,78,79,61,67,46,38,47,54,48,44,36,44,41,29,44,37,36,-
대야동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 시흥시],83,107,121,127,92,85,66,274,125,226,128,48,84,87,78,78,49,39,54,68,62,48,36,47,49,37,57,36,40,-
시화공단,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 시흥시],68,93,105,111,78,71,56,272,109,197,117,42,69,72,51,69,40,32,49,55,52,41,31,40,46,29,46,30,33,-
정왕동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],66,92,100,112,77,68,58,241,105,187,101,38,69,71,46,67,45,38,44,48,51,40,30,35,37,28,43,28,31,-
고잔동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],68,91,99,78,63,66,60,224,116,195,106,41,59,68,41,62,36,29,37,49,44,38,31,32,36,26,38,23,24,-
대부동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],65,90,99,108,69,73,56,210,105,195,104,38,67,68,47,64,42,34,44,48,46,36,31,35,36,31,43,29,32,-
본오동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],78,113,126,137,83,74,63,214,105,191,113,45,80,85,55,70,43,37,46,55,55,41,35,43,43,33,46,28,33,-
부곡동1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],73,102,113,124,81,72,62,218,110,204,113,44,79,79,53,74,47,39,50,57,55,44,36,42,46,33,47,31,35,-
원곡동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],75,102,115,122,89,78,56,202,97,178,103,46,84,86,58,66,38,35,57,62,65,47,41,38,48,37,47,29,31,-
원시동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안산시],56,82,86,93,57,55,46,164,82,156,84,34,57,61,39,52,32,28,38,41,41,31,27,30,33,26,33,21,25,-
호수동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안성시],70,95,113,95,84,75,74,239,109,180,113,50,75,65,53,66,48,46,58,62,66,47,37,46,47,39,54,36,41,-
봉산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안양시],75,101,107,121,76,65,52,214,104,179,111,39,77,79,57,67,45,43,42,49,51,37,29,41,37,28,45,26,37,-
부림동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안양시],63,89,93,107,69,62,54,197,94,174,104,36,70,66,47,61,41,34,41,46,45,35,29,39,34,25,39,32,31,-
안양2동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안양시],78,105,111,128,74,71,59,210,100,174,111,45,80,86,57,66,45,44,47,50,53,41,31,45,39,36,52,31,41,-
안양6동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 안양시],77,102,111,130,72,67,51,223,101,185,113,39,78,83,55,62,39,39,45,49,54,38,22,37,34,28,49,26,36,-
호계동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 양주시],71,107,97,103,79,70,52,226,93,162,150,51,86,99,63,58,43,46,41,51,52,41,35,58,40,33,43,25,39,-
백석읍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 양평군],64,82,74,62,71,65,63,230,89,148,123,32,63,68,43,62,45,43,39,46,54,43,36,44,41,23,40,24,30,-
양평,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 여주시],84,89,105,88,97,88,83,250,113,161,133,40,79,77,54,68,54,50,49,61,76,51,45,53,44,48,58,33,45,-
여주,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 연천군],68,84,85,95,67,57,47,251,82,153,138,29,72,91,47,34,19,23,24,39,36,25,28,39,28,19,27,16,21,-
연천,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 오산시],74,97,114,117,85,73,58,212,106,189,107,39,77,76,57,59,42,38,47,58,61,43,40,44,45,32,42,27,35,-
오산동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 용인시],73,105,112,111,91,78,61,226,107,202,124,38,82,76,58,69,45,41,50,58,54,42,36,48,47,28,46,29,35,-
기흥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 용인시],75,93,106,101,82,70,59,205,100,164,106,45,74,73,53,63,45,45,46,53,60,46,31,46,44,35,50,29,41,-
김량장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 용인시],70,96,98,103,78,68,60,207,105,175,111,39,72,73,50,66,44,41,42,51,52,39,32,46,40,31,46,31,39,-
수지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 의왕시],64,87,87,98,65,65,56,214,92,173,101,37,67,64,45,63,44,36,41,48,45,38,33,41,41,25,41,34,30,-
고천동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 의왕시],69,99,108,124,81,73,60,207,101,193,110,40,75,82,56,68,46,40,48,60,54,44,35,42,43,33,47,33,44,-
부곡3동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 의정부시],82,110,108,104,83,72,56,261,104,171,161,62,85,98,66,69,46,48,45,55,58,43,37,56,41,35,48,30,43,-
의정부1동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 의정부시],53,69,62,68,59,56,52,131,67,108,95,47,59,60,53,55,65,33,29,33,33,31,30,32,34,32,35,34,45,-
의정부동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 이천시],84,90,106,96,94,78,67,235,103,164,127,40,83,87,60,66,48,48,47,55,61,45,33,45,41,30,48,27,45,-
창전동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 파주시],73,101,107,110,75,72,52,224,98,186,148,51,75,88,61,61,40,41,36,55,54,41,39,52,40,29,43,30,41,-
금촌동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 파주시],78,105,107,118,86,83,59,257,107,202,155,57,76,88,64,67,44,42,42,59,59,45,39,52,43,30,65,30,46,-
운정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 평택시],92,124,149,149,101,96,73,265,126,201,122,46,101,85,71,73,47,50,61,75,75,49,46,52,52,49,59,33,44,-
비전동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 평택시],84,117,135,140,91,90,71,298,142,221,105,45,86,74,67,72,47,42,50,62,67,45,42,49,50,34,54,30,37,-
안중,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 평택시],112,134,165,147,106,104,76,309,151,237,114,52,93,88,74,82,56,52,64,89,78,54,54,60,65,49,68,44,54,-
평택항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 포천시],57,78,70,77,69,56,46,163,72,122,129,39,62,78,47,43,29,31,33,44,44,38,30,44,34,25,29,22,28,-
선단동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 하남시],64,95,96,94,76,64,57,186,83,139,117,39,69,75,50,55,47,48,41,48,51,43,34,46,38,29,39,26,33,-
신장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 화성시],99,116,118,128,84,87,67,245,117,201,101,41,85,89,73,68,47,45,54,61,68,51,38,50,51,38,64,35,42,-
남양동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 화성시],73,102,113,121,91,78,67,252,113,203,118,45,82,77,59,68,53,49,54,55,49,41,35,43,41,31,43,34,38,-
동탄동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[경기 화성시],95,123,140,142,96,86,68,267,131,213,114,51,99,102,73,72,51,51,62,66,73,56,43,52,52,48,65,36,53,-
향남,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
