지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,146,110,96,82,92,64,68,340,263,244,76,64,130,88,72,110,64,72,76,62,72,60,66,68,52,50,67,68,44,68
,(01시 연동),(04시 연동),(22시 이도동),(00시 이도동),(11시 이도동),(07시 이도동),(15시 이도동),(05시 이도동),(20시 동홍동),(04시 이도동),(21시 이도동),(20시 연동),(18시 이도동),(00시 이도동),(19시 이도동),(22시 이도동),(12시 이도동),(16시 이도동),(15시 이도동),(18시 이도동),(09시 이도동),(22시 이도동),(09시 이도동),(11시 연동),(10시 이도동),(09시 연동),(23시 동홍동),(09시 이도동),(22시 이도동),(08시 이도동)
[제주 서귀포시],86,62,43,56,45,29,19,122,125,111,25,19,54,25,20,60,34,39,31,29,31,30,32,24,25,21,29,25,17,-
동홍동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주 제주시],84,72,47,54,45,30,14,126,131,139,21,25,56,30,23,61,30,39,30,33,34,32,37,35,29,30,28,25,16,-
연동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주 제주시],97,80,60,63,53,38,21,199,137,152,28,33,72,39,32,75,42,50,41,43,43,39,42,39,38,33,36,40,23,-
이도동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
