지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,59,66,78,61,42,28,47,66,85,59,46,47,49,47,32,48,24,30,33,37,33,41,40,33,36,30,42,35,23,25
,(03시 동홍동),(03시 동홍동),(22시 연동),(00시 연동),(08시 연동),(07시 이도동),(20시 동홍동),(04시 이도동),(21시 동홍동),(04시 연동),(21시 동홍동),(20시 연동),(22시 연동),(02시 이도동),(09시 연동),(00시 이도동),(00시 동홍동),(08시 연동),(13시 연동),(21시 이도동),(23시 이도동),(03시 연동),(09시 연동),(01시 연동),(23시 연동),(00시 이도동),(22시 동홍동),(01시 동홍동),(23시 이도동),(07시 이도동)
[제주 서귀포시],49,35,29,24,20,17,15,31,33,32,17,12,32,16,15,33,15,17,20,18,22,24,25,16,15,15,19,12,11,13
동홍동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주 제주시],40,31,34,27,25,17,11,12,28,33,10,17,33,24,17,27,9,16,21,18,18,22,28,21,21,23,18,9,7,12
연동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[제주 제주시],41,31,32,24,22,19,13,41,27,30,15,18,32,26,16,28,10,18,23,20,21,22,26,22,20,23,18,12,10,15
이도동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
