지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28
최대값,58,64,73,56,50,51,47,56,38,56,65,42,45,47,28,40,27,24,24,44,37,40,24,29,30,34,26,24,26,18
,(03시 신흥동),(17시 아름동),(02시 신흥동),(03시 신흥동),(02시 신흥동),(18시 아름동),(01시 신흥동),(01시 아름동),(01시 신흥동),(20시 아름동),(03시 신흥동),(19시 신흥동),(23시 신흥동),(00시 신흥동),(14시 아름동),(18시 신흥동),(09시 아름동),(12시 아름동),(03시 신흥동),(23시 신흥동),(00시 신흥동),(17시 신흥동),(04시 신흥동),(04시 신흥동),(23시 신흥동),(21시 아름동),(16시 아름동),(02시 아름동),(02시 아름동),(00시 신흥동)
[세종],30,42,43,33,28,33,21,21,18,38,27,11,25,26,17,15,9,10,17,24,24,17,19,19,22,18,13,7,11,15
신흥동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[세종],24,37,36,26,24,29,19,24,15,37,19,9,23,22,16,13,9,9,12,20,22,14,18,18,19,17,12,6,12,13
아름동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
