지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,2017-05-31
강릉시,46,65,76,70,217,131,121,52,35,60,60,51,53,48,36,35,42,50,51,54,43,34,27,32,23,26,44,53,48,43
동해시,32,38,55,57,187,82,93,51,28,60,52,44,46,46,31,32,6,83,80,88,62,68,44,51,25,35,64,114,114,78
삼척시,32,42,64,72,187,81,92,60,35,62,54,57,47,49,41,37,50,44,45,58,47,50,37,32,20,23,48,83,91,57
원주시,62,68,76,73,202,112,146,129,38,71,69,52,64,52,40,47,72,57,48,42,45,47,27,47,20,38,52,77,65,52
원주시,57,58,64,58,168,94,133,120,36,71,68,49,54,44,41,25,42,49,37,33,39,42,25,37,19,37,47,78,63,50
춘천시,60,73,64,49,182,89,140,169,29,62,76,49,49,37,30,33,44,49,38,37,44,37,23,29,15,27,45,80,64,37
춘천시,62,69,63,60,196,97,142,160,31,67,79,55,58,52,36,38,50,56,43,43,49,45,27,38,19,33,52,89,69,42
