지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,
광산구,51,62,64,34,164,199,269,48,40,77,51,41,58,53,40,48,54,53,36,37,38,37,34,36,28,30,41,60,76,-
광산구,55,59,61,30,175,172,239,41,38,70,54,44,56,49,33,45,-,43,35,34,34,39,37,41,30,28,41,62,75,-
남구,43,50,47,26,154,168,247,39,38,68,45,46,58,49,34,46,49,50,38,34,35,31,34,42,28,28,35,58,75,-
동구,41,48,44,17,148,158,232,32,40,62,36,45,57,41,30,39,43,42,29,25,27,24,28,39,28,23,31,50,62,-
북구,50,53,60,34,152,144,214,42,39,64,50,44,53,43,32,39,45,48,29,36,32,36,37,41,28,27,37,60,68,-
북구,36,44,44,16,140,159,220,31,35,58,38,40,50,38,24,33,38,39,23,23,22,24,26,34,17,19,30,48,61,-
서구,32,44,42,17,141,157,232,33,35,56,36,39,50,48,29,37,47,49,31,28,32,29,28,44,34,26,35,54,67,-
