지점,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,
최대값,120,129,148,135,104,116,78,434,174,307,198,57,110,90,75,63,78,50,55,72,67,58,52,57,59,56,56,45,49,176
,(02시 신흥동),(16시 신흥동),(20시 신흥동),(20시 신흥동),(00시 신흥동),(17시 신흥동),(01시 신흥동),(01시 아름동),(11시 아름동),(11시 신흥동),(00시 신흥동),(18시 신흥동),(22시 신흥동),(02시 신흥동),(18시 신흥동),(19시 아름동),(11시 아름동),(10시 아름동),(17시 아름동),(15시 아름동),(01시 신흥동),(21시 신흥동),(03시 신흥동),(19시 신흥동),(08시 신흥동),(18시 신흥동),(15시 아름동),(00시 아름동),(22시 신흥동),(11시 아름동)
[세종],72,97,101,87,74,73,56,195,115,218,99,31,72,59,48,48,43,34,40,51,51,40,42,43,46,35,42,29,30,-
신흥동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[세종],68,94,92,75,64,68,52,208,124,216,89,29,66,52,44,50,42,31,35,48,48,34,40,39,41,31,41,29,29,-
아름동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
