gungu,value
경산시,10
구미시,30
김천시,37
안동시,27
영주시,36
포항시,24
봉화군,10
울진군,-900
영양군,-900
영덕군,6
청송군,6
경주시,10
영천시,10
청도군,10
군위군,7
의성군,-900
예천군,-900
문경시,-900
상주시,-900
칠곡군,8
성주군,6.5
고령군,-900
