gungu,value
거제시,35
김해시,38
사천시,29
양산시,47
진주시,70
창원시,35
하동군,49
거창군,-900
함양군,-900
합천군,-900
의령군,-900
창녕군,-900
밀양시,-900
함안군,-900
산청군,-900
고성군,-900
남해군,-900
통영시,23
