gungu,value
강남구,29
강동구,34
강북구,19
강서구,39
관악구,41
광진구,24
구로구,33
금천구,37
노원구,24
도봉구,30
동대문구,27
동작구,27
마포구,37
서대문구,36
서초구,40
성동구,56
성북구,28
송파구,30
양천구,27
영등포구,40
용산구,26
은평구,22
종로구,27
중구,25
중랑구,36
