DATE1,LOC,LOC_1,a_pm10,a_pm25
20160101,Seoul,서대문구,68.7917,38.5417
20160101,Seoul,서초구,80.1667,41.7083
20160101,Seoul,성동구,75.2500,39.0833
20160101,Seoul,성북구,70.9375,45.0000
20160101,Seoul,송파구,63.5000,39.0000
20160101,Seoul,양천구,47.6000,34.4000
20160101,Seoul,영등포구,83.9167,40.4167
20160101,Seoul,용산구,69.2917,45.5833
20160101,Seoul,은평구,58.2917,35.0417
20160101,Seoul,종로구,69.5417,51.1250
20160101,Seoul,중구,61.3750,35.1667
20160101,Seoul,중랑구,65.9167,40.7917
20160101,Sejongsi,세종,62.2292,0.0000
20160101,Ulsan,남구,45.6071,28.4167
20160101,Ulsan,동구,47.4583,38.9167
20160101,Ulsan,북구,51.0000,0.0000
20160101,Ulsan,울주군,52.9375,36.0417
20160101,Ulsan,중구,46.7692,42.0417
20160101,Incheon,강화군,64.4167,48.6250
20160101,Incheon,계양구,78.1667,56.5417
20160101,Incheon,남구,88.1250,0.0000
20160101,Incheon,남동구,72.1714,54.5294
20160101,Incheon,동구,61.0833,0.0000
20160101,Incheon,부평구,50.4792,0.0000
20160101,Incheon,서구,54.1979,37.4167
20160101,Incheon,연수구,60.7917,0.0000
20160101,Incheon,옹진군,31.9375,18.9583
20160101,Incheon,중구,62.3542,50.5435
20160101,Jeollanam-do,광양시,56.4737,37.2069
20160101,Jeollanam-do,목포시,58.9375,38.8333
20160101,Jeollanam-do,순천시,47.4681,42.7917
20160101,Jeollanam-do,여수시,47.0083,40.1458
20160101,Jeollanam-do,영암군,54.6250,45.4167
20160101,Jeollanam-do,화순군,37.5385,0.0000
20160101,Jeollabuk-do,고창군,52.4167,0.0000
20160101,Jeollabuk-do,군산시,59.5000,44.9000
20160101,Jeollabuk-do,김제시,57.9167,49.7083
20160101,Jeollabuk-do,남원시,63.2083,0.0000
20160101,Jeollabuk-do,부안군,56.5000,47.2083
20160101,Jeollabuk-do,익산시,65.8169,50.7917
20160101,Jeollabuk-do,임실군,60.5417,0.0000
20160101,Jeollabuk-do,전주시,68.6771,0.0000
20160101,Jeollabuk-do,정읍시,49.3333,0.0000
20160101,Jeju-do,서귀포시,50.2500,36.5417
20160101,Jeju-do,제주시,52.8194,36.5902
20160101,Chungcheongnam-do,공주시,56.5833,0.0000
20160101,Chungcheongnam-do,당진군,41.7708,0.0000
20160101,Chungcheongnam-do,서산시,31.1042,0.0000
20160101,Chungcheongnam-do,아산시,54.9167,0.0000
20160101,Chungcheongnam-do,천안시,58.7500,49.5263
20160101,Chungcheongnam-do,태안군,41.7083,0.0000
20160101,Chungcheongbuk-do,괴산군,67.0417,0.0000
20160101,Chungcheongbuk-do,단양군,57.0417,45.3750
20160101,Chungcheongbuk-do,제천시,68.2500,49.5000
20160101,Chungcheongbuk-do,청주시,70.7222,57.0903
20160101,Chungcheongbuk-do,충주시,65.9375,57.6875
20160102,Gangwon-do,강릉시,44.2083,29.5000
20160102,Gangwon-do,고성군,39.0833,0.0000
20160102,Gangwon-do,동해시,35.6667,26.5833
20160102,Gangwon-do,삼척시,33.8750,23.0417
20160102,Gangwon-do,양구군,46.4167,0.0000
20160102,Gangwon-do,원주시,66.4792,58.6087
20160102,Gangwon-do,정선군,43.0000,0.0000
20160102,Gangwon-do,춘천시,73.9583,54.8750
20160102,Gangwon-do,횡성군,28.3333,0.0000
20160102,Gyeonggi-do,가평군,71.9583,0.0000
20160102,Gyeonggi-do,고양시,63.1667,0.0000
20160102,Gyeonggi-do,과천시,53.2083,0.0000
20160102,Gyeonggi-do,광명시,53.1667,0.0000
20160102,Gyeonggi-do,광주시,87.0000,0.0000
20160102,Gyeonggi-do,구리시,76.0625,56.3750
20160102,Gyeonggi-do,군포시,47.7917,0.0000
20160102,Gyeonggi-do,김포시,63.0417,35.2500
20160102,Gyeonggi-do,남양주시,64.0625,0.0000
20160102,Gyeonggi-do,동두천시,59.6250,0.0000
20160102,Gyeonggi-do,부천시,51.0500,37.9583
20160102,Gyeonggi-do,성남시,53.6302,25.7083
20160102,Gyeonggi-do,수원시,54.3690,28.7500
20160102,Gyeonggi-do,시흥시,50.2917,0.0000
20160102,Gyeonggi-do,안산시,54.0521,30.7083
20160102,Gyeonggi-do,안성시,38.5833,0.0000
20160102,Gyeonggi-do,안양시,54.3125,0.0000
20160102,Gyeonggi-do,양주시,67.9167,0.0000
20160102,Gyeonggi-do,양평군,76.8333,47.1667
20160102,Gyeonggi-do,여주시,80.4583,0.0000
20160102,Gyeonggi-do,연천군,60.5417,0.0000
20160102,Gyeonggi-do,오산시,50.5417,0.0000
20160102,Gyeonggi-do,용인시,54.9271,32.8333
20160102,Gyeonggi-do,의왕시,54.8333,29.7917
20160102,Gyeonggi-do,의정부시,64.9167,56.7917
20160102,Gyeonggi-do,이천시,68.5417,0.0000
20160102,Gyeonggi-do,파주시,60.2083,0.0000
20160102,Gyeonggi-do,평택시,65.4225,0.0000
20160102,Gyeonggi-do,포천시,64.3750,0.0000
20160102,Gyeonggi-do,하남시,60.3333,29.1667
20160102,Gyeonggi-do,화성시,54.1806,0.0000
20160102,Gyeongsangnam-do,거제시,34.3542,32.5417
20160102,Gyeongsangnam-do,거창군,71.5000,0.0000
20160102,Gyeongsangnam-do,김해시,55.7500,34.4167
20160102,Gyeongsangnam-do,사천시,73.9167,37.6667
20160102,Gyeongsangnam-do,양산시,56.5833,49.6667
20160102,Gyeongsangnam-do,진주시,78.2639,51.1875
20160102,Gyeongsangnam-do,창원시,63.7083,44.3021
20160102,Gyeongsangnam-do,하동군,60.0000,34.5417
20160102,Gyeongsangbuk-do,경산시,72.4583,0.0000
20160102,Gyeongsangbuk-do,경주시,32.1667,0.0000
20160102,Gyeongsangbuk-do,구미시,59.5104,0.0000
20160102,Gyeongsangbuk-do,김천시,62.4167,54.4583
20160102,Gyeongsangbuk-do,안동시,56.1667,0.0000
20160102,Gyeongsangbuk-do,영덕군,43.0833,0.0000
20160102,Gyeongsangbuk-do,영주시,68.2500,0.0000
20160102,Gyeongsangbuk-do,영천시,44.4167,0.0000
20160102,Gyeongsangbuk-do,울릉군,34.0417,24.7273
20160102,Gyeongsangbuk-do,의성군,57.0833,0.0000
20160102,Gyeongsangbuk-do,포항시,43.4750,0.0000
20160102,Gwangju,광산구,62.2500,44.0833
20160102,Gwangju,남구,59.4167,44.2083
20160102,Gwangju,동구,42.2083,25.6667
20160102,Gwangju,북구,58.4444,37.0625
20160102,Gwangju,서구,76.1250,49.5833
20160102,Daegu,남구,60.9583,0.0000
20160102,Daegu,달서구,61.1304,43.2917
20160102,Daegu,달성군,50.7500,30.5833
20160102,Daegu,동구,69.6458,52.5833
20160102,Daegu,북구,69.2500,39.8333
20160102,Daegu,서구,78.3125,46.9792
20160102,Daegu,수성구,68.3542,47.6875
20160102,Daegu,중구,69.9583,0.0000
20160102,Daejeon,대덕구,55.6875,0.0000
20160102,Daejeon,동구,39.3333,0.0000
20160102,Daejeon,서구,43.7500,0.0000
20160102,Daejeon,유성구,50.1250,31.4583
20160102,Daejeon,중구,51.1458,0.0000
20160102,Busan,강서구,68.9167,55.2917
20160102,Busan,금정구,60.6458,44.2500
20160102,Busan,기장군,48.6250,35.4583
20160102,Busan,남구,53.7083,41.7083
20160102,Busan,동구,54.2500,40.5278
20160102,Busan,동래구,67.7292,46.4375
20160102,Busan,부산진구,60.9167,55.9583
20160102,Busan,북구,57.8333,51.0833
20160102,Busan,사상구,68.2917,54.6250
20160102,Busan,사하구,69.8333,55.4583
20160102,Busan,서구,46.6250,43.0000
20160102,Busan,수영구,59.6250,41.7917
20160102,Busan,연제구,65.7083,51.9583
20160102,Busan,영도구,52.0000,42.0000
20160102,Busan,중구,58.1250,51.3750
20160102,Busan,해운대구,51.4583,43.0833
20160102,Seoul,강남구,48.6458,28.7500
20160102,Seoul,강동구,53.8333,31.4583
20160102,Seoul,강북구,64.6667,41.3333
20160102,Seoul,강서구,50.4286,26.0833
20160102,Seoul,관악구,54.2917,34.5833
20160102,Seoul,광진구,58.4167,41.2083
20160102,Seoul,구로구,40.5833,27.3750
20160102,Seoul,금천구,52.0000,35.7917
20160102,Seoul,노원구,52.4167,36.0833
20160102,Seoul,도봉구,53.6250,31.3750
20160102,Seoul,동대문구,55.7292,33.2500
20160102,Seoul,동작구,58.5625,34.2174
20160102,Seoul,마포구,55.7917,34.8333
20160102,Seoul,서대문구,54.5833,26.1667
20160102,Seoul,서초구,60.2500,26.0000
20160102,Seoul,성동구,50.4250,27.3750
20160102,Seoul,성북구,55.5208,29.0417
20160102,Seoul,송파구,40.5417,24.6250
20160102,Seoul,양천구,59.1250,39.5000
20160102,Seoul,영등포구,62.9167,27.5000
20160102,Seoul,용산구,50.5833,30.3750
20160102,Seoul,은평구,45.0417,23.9167
20160102,Seoul,종로구,55.8958,36.5833
20160102,Seoul,중구,49.5625,25.2083
20160102,Seoul,중랑구,51.0417,28.9583
20160102,Sejongsi,세종,52.2917,0.0000
20160102,Ulsan,남구,49.8690,30.2500
20160102,Ulsan,동구,51.2083,39.8333
20160102,Ulsan,북구,56.8542,33.0417
20160102,Ulsan,울주군,57.0729,36.3125
20160102,Ulsan,중구,55.6667,40.3333
20160102,Incheon,강화군,48.9792,29.5417
20160102,Incheon,계양구,59.2174,40.9583
20160102,Incheon,남구,66.8958,0.0000
20160102,Incheon,남동구,56.4306,37.6667
20160102,Incheon,동구,47.8958,0.0000
20160102,Incheon,부평구,34.6875,0.0000
20160102,Incheon,서구,41.8438,28.2083
20160102,Incheon,연수구,40.0833,0.0000
20160102,Incheon,옹진군,63.9792,54.5833
20160102,Incheon,중구,51.5625,34.2500
20160102,Jeollanam-do,광양시,57.9574,39.4568
20160102,Jeollanam-do,목포시,58.0625,35.3333
20160102,Jeollanam-do,순천시,49.0851,45.1304
20160102,Jeollanam-do,여수시,44.8583,39.3333
20160102,Jeollanam-do,영암군,53.9583,44.5833
20160102,Jeollanam-do,화순군,32.2500,0.0000
20160102,Jeollabuk-do,고창군,43.2500,0.0000
20160102,Jeollabuk-do,군산시,55.5417,34.8261
20160102,Jeollabuk-do,김제시,50.3333,39.7500
20160102,Jeollabuk-do,남원시,72.7083,0.0000
20160102,Jeollabuk-do,부안군,50.8750,40.4167
20160102,Jeollabuk-do,익산시,56.8548,44.8750
20160102,Jeollabuk-do,임실군,54.4167,0.0000
20160102,Jeollabuk-do,전주시,56.8438,0.0000
20160102,Jeollabuk-do,정읍시,55.5000,0.0000
20160102,Jeju-do,서귀포시,44.1667,31.4348
20160102,Jeju-do,제주시,44.1831,29.8095
20160102,Chungcheongnam-do,공주시,42.3750,0.0000
20160102,Chungcheongnam-do,당진군,38.6458,0.0000
20160102,Chungcheongnam-do,서산시,36.7500,0.0000
20160102,Chungcheongnam-do,아산시,47.5417,0.0000
20160102,Chungcheongnam-do,천안시,50.2500,32.8750
20160102,Chungcheongnam-do,태안군,48.4348,0.0000
20160102,Chungcheongbuk-do,괴산군,45.6667,0.0000
20160102,Chungcheongbuk-do,단양군,42.5833,33.1250
20160102,Chungcheongbuk-do,제천시,56.1250,38.2083
20160102,Chungcheongbuk-do,청주시,57.0417,40.4931
20160102,Chungcheongbuk-do,충주시,56.7708,46.3958
20160103,Gangwon-do,강릉시,71.0417,52.0833
20160103,Gangwon-do,고성군,77.6250,0.0000
20160103,Gangwon-do,동해시,53.7917,42.2174
20160103,Gangwon-do,삼척시,52.0000,39.6522
20160103,Gangwon-do,양구군,60.0000,0.0000
20160103,Gangwon-do,원주시,77.6875,68.8125
20160103,Gangwon-do,정선군,58.9583,0.0000
20160103,Gangwon-do,춘천시,89.6667,67.2083
20160103,Gangwon-do,횡성군,62.6500,0.0000
20160103,Gyeonggi-do,가평군,85.2083,0.0000
20160103,Gyeonggi-do,고양시,123.2639,0.0000
20160103,Gyeonggi-do,과천시,91.6875,0.0000
20160103,Gyeonggi-do,광명시,97.1042,0.0000
20160103,Gyeonggi-do,광주시,102.8333,0.0000
20160103,Gyeonggi-do,구리시,108.6667,79.7500
20160103,Gyeonggi-do,군포시,78.2917,0.0000
20160103,Gyeonggi-do,김포시,117.3889,75.2083
20160103,Gyeonggi-do,남양주시,98.6458,0.0000
20160103,Gyeonggi-do,동두천시,108.7083,0.0000
20160103,Gyeonggi-do,부천시,96.8500,70.0000
20160103,Gyeonggi-do,성남시,87.1563,44.8333
20160103,Gyeonggi-do,수원시,97.2738,52.2143
20160103,Gyeonggi-do,시흥시,85.3889,0.0000
20160103,Gyeonggi-do,안산시,90.9583,47.9167
20160103,Gyeonggi-do,안성시,69.1250,0.0000
20160103,Gyeonggi-do,안양시,94.9348,0.0000
20160103,Gyeonggi-do,양주시,146.7500,0.0000
20160103,Gyeonggi-do,양평군,81.2500,46.9167
20160103,Gyeonggi-do,여주시,88.4583,0.0000
20160103,Gyeonggi-do,연천군,112.2083,0.0000
20160103,Gyeonggi-do,오산시,89.4167,0.0000
20160103,Gyeonggi-do,용인시,83.8958,54.8333
20160103,Gyeonggi-do,의왕시,93.5417,48.7500
20160103,Gyeonggi-do,의정부시,105.6667,99.6667
20160103,Gyeonggi-do,이천시,92.3542,0.0000
20160103,Gyeonggi-do,파주시,124.2083,0.0000
20160103,Gyeonggi-do,평택시,107.8732,0.0000
20160103,Gyeonggi-do,포천시,120.7083,0.0000
20160103,Gyeonggi-do,하남시,103.7083,48.5000
20160103,Gyeonggi-do,화성시,99.3333,0.0000
20160103,Gyeongsangnam-do,거제시,37.1250,35.3750
20160103,Gyeongsangnam-do,거창군,53.9565,0.0000
20160103,Gyeongsangnam-do,김해시,58.6944,33.0000
20160103,Gyeongsangnam-do,사천시,64.1667,32.3333
20160103,Gyeongsangnam-do,양산시,63.1667,52.0833
20160103,Gyeongsangnam-do,진주시,75.4444,49.7292
20160103,Gyeongsangnam-do,창원시,62.7708,42.8750
20160103,Gyeongsangnam-do,하동군,45.1667,30.3913
20160103,Gyeongsangbuk-do,경산시,76.1667,0.0000
20160103,Gyeongsangbuk-do,경주시,34.6667,0.0000
20160103,Gyeongsangbuk-do,구미시,67.5789,0.0000
20160103,Gyeongsangbuk-do,김천시,77.8333,66.6667
20160103,Gyeongsangbuk-do,안동시,54.5833,0.0000
20160103,Gyeongsangbuk-do,영덕군,46.9583,0.0000
20160103,Gyeongsangbuk-do,영주시,81.2917,0.0000
20160103,Gyeongsangbuk-do,영천시,40.7500,0.0000
20160103,Gyeongsangbuk-do,울릉군,59.6667,40.6667
20160103,Gyeongsangbuk-do,의성군,57.5833,0.0000
20160103,Gyeongsangbuk-do,포항시,47.2083,0.0000
20160103,Gwangju,광산구,64.8542,47.5417
20160103,Gwangju,남구,71.7917,54.5000
20160103,Gwangju,동구,47.6250,31.0833
20160103,Gwangju,북구,64.2500,39.1875
20160103,Gwangju,서구,83.6458,56.5833
20160103,Daegu,남구,62.9167,0.0000
20160103,Daegu,달서구,61.2273,40.6087
