gungu,value
강릉시,30
동해시,33
삼척시,26
원주시,30
춘천시,44
철원군,-900
화천군,44
홍천군,29
양구군,-900
고성군,-900
속초시,-900
양양군,-900
인제군,-900
평창군,-900
정선군,32
태백시,34
영월군,28
평창군,-900
횡성군,21
