gungu,value
가평군,23
고양시,28
과천시,22.5
광명시,28
광주시,32
구리시,33
군포시,22
김포시,30
남양주시,27.5
동두천시,42
부천시,30
성남시,24
수원시,24
시흥시,26
안산시,20
안성시,40
안양시,21
양주시,34
양평군,28
여주시,34
연천군,26
오산시,37
용인시,26
의왕시,30
의정부시,46.5
이천시,28
파주시,31
평택시,26
포천시,23
하남시,30
화성시,29
