지점,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-27,2017-05-28,2017-05-29,2017-05-30,
대덕구,64,65,74,57,196,119,179,88,33,75,58,56,53,46,39,42,54,51,39,41,41,42,42,48,31,36,52,67,75,-
대덕구,60,66,78,55,193,126,218,92,33,76,57,54,52,50,34,39,54,56,37,37,45,47,32,43,30,29,43,55,69,-
동구,47,43,58,53,146,109,151,70,31,64,46,51,51,39,33,33,45,45,34,39,33,36,41,42,26,28,42,53,68,-
서구,67,66,74,56,214,146,238,87,32,77,59,56,58,45,32,37,54,52,37,39,37,44,32,41,27,29,50,62,72,-
서구,65,51,64,52,170,130,202,82,31,65,49,50,55,40,30,33,47,48,35,35,33,37,36,40,28,35,44,53,63,-
유성구,72,68,75,64,199,141,227,85,31,76,57,59,62,47,38,35,54,56,33,40,37,44,38,49,27,35,52,68,79,-
유성구,86,72,76,63,197,131,212,84,28,73,58,53,55,44,35,34,53,53,37,40,36,43,38,48,29,31,52,67,79,-
중구,60,48,66,53,179,130,190,86,31,67,50,55,53,42,31,35,48,48,36,36,34,39,37,41,29,33,44,57,66,-
