날짜,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
05-30,31,49,39,29,43,34,54,25,39,46,41,26,37,30,34,41,29
05-28,34,39,43,37,31,41,49,44,41,39,38,43,41,30,36,39,28
05-27,34,36,33,32,26,32,43,32,38,31,30,31,31,30,29,36,19
05-26,24,39,30,29,28,28,40,29,29,20,23,30,32,27,26,34,30
05-25,38,55,46,43,40,44,59,41,46,38,44,44,44,34,44,42,31
05-24,26,49,51,29,32,37,58,33,32,30,33,29,37,30,42,47,28
05-23,35,58,49,38,31,41,72,43,41,46,38,41,44,33,43,49,30
05-22,43,55,46,39,31,37,65,41,45,47,36,39,37,38,41,48,33
05-21,32,42,41,32,31,38,51,41,35,51,35,33,39,34,37,43,37
05-20,38,47,40,40,32,36,60,37,42,49,38,38,43,32,34,47,34
05-19,47,57,49,49,47,51,63,50,54,54,52,49,53,44,44,55,36
05-18,48,64,58,53,46,51,65,49,54,44,49,54,53,44,49,56,35
05-17,39,54,45,43,41,36,62,37,45,36,39,43,47,39,36,49,34
05-16,35,36,28,36,31,34,51,33,41,36,34,36,37,27,31,30,43
05-15,44,46,40,41,46,44,53,42,45,46,39,41,48,37,44,44,35
05-14,59,57,49,59,55,55,53,49,65,53,48,64,66,47,47,52,65
05-13,50,48,50,52,42,54,55,46,57,51,47,52,51,35,48,45,25
05-12,74,54,56,74,44,54,66,55,82,65,53,58,50,43,51,51,31
05-11,71,67,57,65,65,72,67,69,77,65,67,70,71,52,53,62,61
05-10,43,37,33,48,38,31,34,30,44,33,30,37,36,28,26,33,26
05-09,125,55,63,114,38,84,59,94,122,106,91,108,53,38,70,51,25
05-08,174,124,87,161,236,202,90,217,183,123,153,209,206,189,100,122,134
05-07,92,133,104,88,165,129,126,120,103,98,99,132,175,164,108,125,131
05-06,195,132,131,205,153,187,151,202,226,191,183,260,193,151,134,130,159
05-05,56,31,37,53,25,57,36,54,59,63,51,65,54,26,39,29,19
05-04,64,42,47,66,52,71,51,70,73,66,62,73,70,44,47,46,33
05-03,70,40,41,72,51,60,49,69,80,59,55,75,78,43,36,45,47
05-02,99,34,37,94,44,65,34,81,111,50,49,95,91,39,32,42,58
05-01,92,61,59,101,83,94,58,97,106,62,82,106,110,64,57,65,50
04-30,91,80,80,86,86,99,89,96,100,88,82,99,100,64,71,76,71
04-29,63,74,61,66,64,70,73,70,74,65,66,69,73,56,56,70,89
