gungu,value
가평군,23
고양시,30
과천시,34
광명시,41
광주시,12
구리시,36
군포시,44
김포시,48
남양주시,35
동두천시,42
부천시,43
성남시,39
수원시,41
시흥시,32
안산시,51
안성시,40
안양시,30
양주시,34
양평군,28
여주시,34
연천군,26
오산시,37
용인시,35
의왕시,26
의정부시,42
이천시,28
파주시,32
평택시,47
포천시,23
하남시,32
화성시,51
