gungu,value
강서구,59
금정구,48.5
기장군,47.5
남구,52
동구,56
동래구,55
부산진구,62
북구,50
사상구,50
사하구,41
서구,48
수영구,-900
연제구,59
영도구,56
중구,45
해운대,49
