gungu,value
강서구,20.5
금정구,18.3
기장군,18.5
남구,27
동구,18
동래구,18
부산진구,49
북구,41
사상구,52
사하구,40
서구,51
수영구,-900
연제구,27
영도구,27
중구,56
해운대,36
