province,value
서울특별시,42
부산광역시,54
대구광역시,46
인천광역시,40
광주광역시,42
대전광역시,49
울산광역시,55
세종특별자치시,43
경기도,44
강원도,45
충청북도,43
충청남도,34
전라북도,45
전라남도,35
경상북도,42
경상남도,49
제주특별자치도,32
