buoy,date,speed,direction,code
Sinan,2016-01-06 18,5.5,17,NNE
Sinan,2016-01-06 19,4.6,4,N
Sinan,2016-01-06 20,7.4,316,NW
Sinan,2016-01-06 21,6.6,322,NW
Sinan,2016-01-06 22,7.7,336,NNW
Sinan,2016-01-06 23,6.4,337,NNW
Sinan,2016-01-07 00,6.3,336,NNW
Sinan,2016-01-07 01,6.1,348,NNW
Sinan,2016-01-07 02,7.6,336,NNW
Sinan,2016-01-07 03,6.6,349,N
Sinan,2016-01-07 04,6.6,339,NNW
Sinan,2016-01-07 05,7.9,349,N
Sinan,2016-01-07 06,8.2,357,N
Sinan,2016-01-07 07,6.3,343,NNW
Sinan,2016-01-07 08,10.5,358,N
Sinan,2016-01-07 09,5.2,293,WNW
Sinan,2016-01-07 10,8.1,343,NNW
Sinan,2016-01-07 11,6.9,336,NNW
Sinan,2016-01-07 12,6.8,345,NNW
Sinan,2016-01-07 13,4.5,292,WNW
Sinan,2016-01-07 14,6.7,284,WNW
Sinan,2016-01-07 15,5.7,344,NNW
Sinan,2016-01-07 16,3.9,3,N
Sinan,2016-01-07 17,6.3,21,NNE
Sinan,2016-01-07 18,6.7,16,NNE
Sinan,2016-01-07 19,6.4,9,N
Sinan,2016-01-07 20,4.5,17,NNE
Sinan,2016-01-07 21,3,29,NNE
Sinan,2016-01-07 22,5.7,340,NNW
Sinan,2016-01-07 23,7.2,299,WNW
Sinan,2016-01-08 00,7.4,276,W
Sinan,2016-01-08 01,7.5,312,NW
Sinan,2016-01-08 02,7.7,359,N
Sinan,2016-01-08 03,9.1,354,N
Sinan,2016-01-08 04,6.5,2,N
Sinan,2016-01-08 05,7.6,1,N
Sinan,2016-01-08 06,7.4,8,N
Sinan,2016-01-08 07,4.9,301,WNW
Sinan,2016-01-08 08,7.6,232,SW
Sinan,2016-01-08 09,6.2,282,WNW
Sinan,2016-01-08 10,4.5,301,WNW
Sinan,2016-01-08 11,6.5,347,NNW
Sinan,2016-01-08 12,6.6,324,NW
Sinan,2016-01-08 13,6.3,331,NNW
Sinan,2016-01-08 14,7.7,314,NW
Sinan,2016-01-08 15,5.8,269,W
Sinan,2016-01-08 16,7.3,328,NNW
Sinan,2016-01-08 17,7.4,321,NW
Sinan,2016-01-08 18,6.2,278,W
Sinan,2016-01-08 19,3.1,215,SW
Sinan,2016-01-08 20,5.2,352,N
Sinan,2016-01-08 21,5.6,326,NW
Sinan,2016-01-08 22,4.5,12,NNE
Sinan,2016-01-08 23,4.6,27,NNE
Sinan,2016-01-09 00,3.4,64,ENE
Sinan,2016-01-09 01,1.7,39,NE
Sinan,2016-01-09 02,1.8,45,NE
Sinan,2016-01-09 03,1.3,266,W
Sinan,2016-01-09 04,2.5,280,W
Sinan,2016-01-09 05,3.6,307,NW
Sinan,2016-01-09 06,4.5,308,NW
Sinan,2016-01-09 07,4.5,350,N
Sinan,2016-01-09 08,6.3,3,N
Sinan,2016-01-09 09,6.6,13,NNE
Sinan,2016-01-09 10,4.8,352,N
Sinan,2016-01-09 11,4.6,344,NNW
Sinan,2016-01-09 12,3.7,12,NNE
Sinan,2016-01-09 13,4.7,297,WNW
Sinan,2016-01-09 14,3.7,354,N
Sinan,2016-01-09 15,3.5,344,NNW
Sinan,2016-01-09 16,4.6,356,N
Sinan,2016-01-09 17,4,309,NW
Sinan,2016-01-09 18,3.6,334,NNW
Sinan,2016-01-09 19,6,345,NNW
Sinan,2016-01-09 20,5.4,312,NW
Sinan,2016-01-09 21,3.7,323,NW
Sinan,2016-01-09 22,4.3,312,NW
Sinan,2016-01-09 23,3.6,341,NNW
Sinan,2016-01-10 00,4.2,291,WNW
Sinan,2016-01-10 01,5.5,296,WNW
Sinan,2016-01-10 02,5.1,358,N
Sinan,2016-01-10 03,3,345,NNW
Sinan,2016-01-10 04,1.9,314,NW
Sinan,2016-01-10 05,4.1,343,NNW
Sinan,2016-01-10 06,5.3,287,WNW
Sinan,2016-01-10 07,4.1,358,N
Sinan,2016-01-10 08,4.4,356,N
Sinan,2016-01-10 09,3.4,34,NE
Sinan,2016-01-10 10,3.2,356,N
Sinan,2016-01-10 11,4,47,NE
Sinan,2016-01-10 12,2.8,16,NNE
Sinan,2016-01-10 13,2.3,48,NE
Sinan,2016-01-10 14,0.9,351,N
Sinan,2016-01-10 15,4.5,3,N
Sinan,2016-01-10 16,3.9,333,NNW
Sinan,2016-01-10 17,4.9,26,NNE
Sinan,2016-01-10 18,3.2,18,NNE
Sinan,2016-01-10 19,4.3,356,N
Sinan,2016-01-10 20,3.6,30,NNE
Sinan,2016-01-10 21,3.6,22,NNE
Sinan,2016-01-10 22,1.5,294,WNW
Sinan,2016-01-10 23,6.5,52,NE
Sinan,2016-01-11 00,5,49,NE
Sinan,2016-01-11 01,5.7,61,ENE
