gungu,value
광양시,35
목포시,23
순천시,21
여수시,23
영암군,20
영광군,-900
함평군,-900
해남군,-900
진도군,-900
강진군,-900
장흥군,-900
나주시,14
장성군,-900
담양군,-900
화순군,-900
곡성군,-900
구례군,19
고흥군,-900
보성군,21
