gungu,value
강남구,45
강동구,42
강북구,33
강서구,42
관악구,46
광진구,39
구로구,39
금천구,42
노원구,43
도봉구,42
동대문구,34
동작구,37
마포구,39
서대문구,47
서초구,40
성동구,40
성북구,50
송파구,42
양천구,41
영등포구,42
용산구,50
은평구,49
종로구,41
중구,39
중랑구,43
