gungu,value
당진시,36
서산시,9
아산시,7
천안시,10
태안군,9
홍성군,9
예산군,9
공주시,-900
청양군,-900
보령시,-900
서천군,-900
부여군,-900
논산시,-900
계룡시,-900
논산시,-900
금산군,-900
