DATE1,LOC,a_pm10,a_pm25
20160111,충남,35.1416,24.4583
20160111,충북,42.3764,25.8042
20160112,강원,38.3458,26.5571
20160112,경기,54.6842,25.8078
20160112,경남,33.8877,19.3077
20160112,경북,35.9093,23.7838
20160112,광주,28.4717,15.3902
20160112,대구,41.3665,23.1927
20160112,대전,41.6314,25.4091
20160112,부산,35.7892,23.0040
20160112,서울,50.9936,23.4730
20160112,세종,44.6458,0.0000
20160112,Ulsan,36.5465,16.0365
20160112,인천,38.0108,17.5847
20160112,전남,24.8291,16.0083
20160112,전북,40.3886,24.6064
20160112,제주,24.8404,11.5417
20160112,충남,38.2731,27.2917
20160112,충북,49.4091,29.4226
20160113,강원,37.2926,25.7050
20160113,경기,43.7367,23.4944
20160113,경남,29.5733,18.2317
20160113,경북,30.6458,15.7813
20160113,광주,28.4601,18.3054
20160113,대구,33.1731,19.1497
20160113,대전,31.8703,15.6923
20160113,부산,33.4269,21.8715
20160113,서울,39.7207,19.9363
20160113,세종,33.2083,0.0000
20160113,Ulsan,30.3034,13.5455
20160113,인천,34.6821,18.3125
20160113,전남,25.5783,18.0844
20160113,전북,31.7431,22.2921
20160113,제주,32.4607,19.3438
20160113,충남,30.9674,17.7500
20160113,충북,32.5492,22.4750
20160114,강원,34.1195,23.0963
20160114,경기,50.4519,25.4886
20160114,경남,38.4358,23.5135
20160114,경북,30.8019,19.3636
20160114,광주,32.3915,18.2530
20160114,대구,35.9894,20.0423
20160114,대전,38.3782,18.5455
20160114,부산,38.8775,27.3667
20160114,서울,47.7894,21.0998
20160114,세종,37.5122,0.0000
20160114,Ulsan,38.9889,19.9296
20160114,인천,42.3570,22.0984
20160114,전남,31.6915,20.4599
20160114,전북,35.1895,24.5789
20160114,제주,55.6235,33.7802
20160114,충남,43.8476,20.3077
20160114,충북,35.2460,20.8875
20160115,강원,46.5105,38.8671
20160115,경기,62.5914,37.8616
20160115,경남,65.2164,35.9053
20160115,경북,56.8571,36.2500
20160115,광주,61.2917,38.5476
20160115,대구,68.3264,40.5156
20160115,대전,61.7161,35.7500
20160115,부산,69.5343,47.0337
20160115,서울,54.4384,29.3098
20160115,세종,58.7292,0.0000
20160115,Ulsan,63.6211,37.6127
20160115,인천,51.2796,32.8148
20160115,전남,58.0315,39.8771
20160115,전북,68.0787,56.4375
20160115,제주,61.1778,41.9063
20160115,충남,61.0873,56.6250
20160115,충북,63.9921,46.3250
20160116,강원,57.5458,49.1056
20160116,경기,84.6565,54.3444
20160116,경남,87.7313,54.6603
20160116,경북,73.0208,51.4146
20160116,광주,74.6465,52.8631
20160116,대구,96.9350,62.9628
20160116,대전,87.5625,58.4167
20160116,부산,80.4969,60.0219
20160116,서울,70.8816,42.5794
20160116,세종,85.4583,0.0000
20160116,Ulsan,77.0306,50.6014
20160116,인천,72.8305,53.9167
20160116,전남,68.5342,49.9625
20160116,전북,89.3698,75.1798
20160116,제주,56.6264,39.9674
20160116,충남,77.1000,84.2857
20160116,충북,82.9886,64.6778
20160117,강원,66.8417,58.4931
20160117,경기,82.1515,54.2618
20160117,경남,71.5254,45.2879
20160117,경북,61.7847,58.3784
20160117,광주,56.4815,42.2857
20160117,대구,81.3066,55.9740
20160117,대전,70.9167,54.0417
20160117,부산,47.4646,36.9683
20160117,서울,72.8535,46.4417
20160117,세종,73.5417,0.0000
20160117,Ulsan,56.1532,35.9720
20160117,인천,76.4063,60.0521
20160117,전남,49.7927,39.5000
20160117,전북,81.9531,76.1860
20160117,제주,39.4624,27.5495
20160117,충남,71.5833,55.1111
20160117,충북,73.4773,59.3125
20160118,강원,53.0342,37.0935
20160118,경기,59.0777,32.1657
20160118,경남,34.2541,21.4094
20160118,경북,38.8404,29.5610
20160118,광주,26.6528,17.4583
20160118,대구,40.6049,26.1390
20160118,대전,35.5107,24.0526
20160118,부산,35.5195,26.4859
