gungu,value
거제시,35
김해시,38
김해시,30
김해시,27
사천시,29
양산시,47
양산시,39
진주시,70
진주시,15
진주시,35
창원시,35
창원시,27
창원시,32
창원시,45
창원시,32
창원시,38
창원시,24
창원시,29
하동군,49
